                               Table 9: Robustness

------------------------------------------------------------------------------------------------------------
                	      tauIN	      tauUS	     dTauIN	    dQIN2US	    dYIN2US	 dAveFirmSize	 dShareSmall2125
        Baseline	      0.054	      0.124	       4.11	       5.05	      10.25	       3.59	      -1.51
        WPayment	      0.057	      0.129	       4.83	       6.88	      13.94	       0.63	      -1.00
WBloomAndPayment	      0.056	      0.111	       5.31	       8.11	      15.25	       2.30	      -1.45
      zetaEntLow	      0.054	      0.124	       3.77	       4.63	       9.76	       3.70	      -1.49
     zetaEntHigh	      0.054	      0.124	       4.55	       5.58	      10.88	       3.44	      -1.53
          zeta04	      0.054	      0.122	       4.19	       5.19	      10.94	       2.15	      -1.08
          zeta06	      0.054	      0.127	       3.90	       4.70	       9.25	       5.04	      -2.05
            Firm	      0.054	      0.116	       4.12	       5.12	      10.47	       2.90	      -1.43
          HLLong	      0.054	      0.124	       4.11	       6.95	      12.24	       3.59	      -1.51
         HLShort	      0.054	      0.124	       4.11	       3.51	       8.63	       3.59	      -1.51
          els102	      0.054	      0.124	       5.62	       6.87	      14.62	       3.78	      -1.79
          els105	      0.054	      0.124	       7.88	       9.54	      21.29	       4.08	      -2.22
    varthetaHigh	      0.052	      0.120	       1.56	       2.13	       3.32	       6.45	      -0.70
------------------------------------------------------------------------------------------------------------
